lon;lat
13.31501700;52.50083600
13.31590200;52.50097700
13.31677100;52.50111400
13.31824100;52.50133600
13.31942600;52.50152200
13.32079400;52.50173400
13.32182400;52.50188100
13.32168500;52.50090800
13.32158300;52.50023800
13.32152400;52.49982000
13.32437800;52.49998700
13.32463000;52.49994800
13.32488200;52.49995100
13.32763400;52.50015000
13.32920000;52.50026800
13.33075600;52.50039500
13.33099700;52.50040800
13.33143700;52.50042800
13.33158200;52.50041800
13.33176400;52.50040200
13.33202700;52.50034000
13.33226900;52.50028100
13.33318600;52.49993800
13.33366300;52.49976500
13.33430200;52.49955300
13.33480100;52.49940600
13.33508500;52.49933400
13.33522400;52.49930500
13.33434500;52.49855300
13.33482700;52.49824300
13.33502600;52.49815200
13.33461300;52.49764900
13.33461800;52.49683600
13.33458100;52.49670200
